row_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delivery_time_hours_clean,expected_time_hours_clean,delay_duration_hours,delay_category,on_time_flag,delivery_success_flag,distance_category,cost_per_km,satisfaction_category,performance_score
12,250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,no,delivered,5,541.44,3.0,16.0,-13.0,on_time_or_early,1,1,medium,6.7343283582089555,excellent,100.0
13,250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,no,delivered,4,1350.18,8.0,16.0,-8.0,on_time_or_early,1,1,very_long,5.239348079161816,good,94.0
14,250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,yes,failed,1,155.08,6.0,2.0,4.0,moderate_delay,0,0,short,8.162105263157896,poor,6.0
15,250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,no,delivered,3,1263.27,12.0,16.0,-4.0,on_time_or_early,1,1,very_long,5.3100882723833545,average,88.0
16,250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,yes,delayed,3,1281.51,8.0,6.0,2.0,mild_delay,0,1,very_long,5.355244463017133,average,48.0
17,250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,no,delivered,5,397.19,10.0,24.0,-14.0,on_time_or_early,1,1,medium,5.027721518987342,excellent,100.0
18,250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,no,delivered,5,990.36,11.0,24.0,-13.0,on_time_or_early,1,1,long,5.801757469244289,excellent,100.0
19,250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,no,delivered,3,651.1,4.0,8.0,-4.0,on_time_or_early,1,1,medium,7.234444444444445,average,88.0
20,250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,yes,failed,2,388.09,7.0,3.0,4.0,moderate_delay,0,0,short,6.06390625,poor,12.0
21,250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,no,delivered,4,986.8,6.0,16.0,-10.0,on_time_or_early,1,1,long,5.308230231307154,good,94.0
22,250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,no,delivered,4,1131.74,9.0,16.0,-7.0,on_time_or_early,1,1,long,5.193850390087196,good,94.0
23,250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,no,delivered,5,1293.05,6.0,8.0,-2.0,on_time_or_early,1,1,long,6.039467538533396,excellent,100.0
24,250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,no,delivered,4,1363.2,8.0,24.0,-16.0,on_time_or_early,1,1,very_long,5.415971394517283,good,94.0
25,250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,no,delivered,5,1091.51,7.0,24.0,-17.0,on_time_or_early,1,1,long,5.079153094462541,excellent,100.0
26,250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,no,delivered,4,578.59,6.0,16.0,-10.0,on_time_or_early,1,1,medium,5.013778162911612,good,94.0
27,250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,yes,delayed,3,1632.7206,9.0,7.0,2.0,mild_delay,0,1,very_long,5.557251872021784,average,48.0
28,250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,8.0,24.0,-16.0,on_time_or_early,1,1,very_long,5.488179916317991,average,88.0
29,250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,no,delivered,5,874.8,3.0,4.0,-1.0,on_time_or_early,1,1,medium,6.427626745040412,excellent,100.0
30,250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,no,delivered,5,1475.36,13.0,16.0,-3.0,on_time_or_early,1,1,very_long,5.063006177076184,excellent,100.0
31,250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,no,delivered,5,1534.04,9.0,24.0,-15.0,on_time_or_early,1,1,very_long,5.200135593220339,excellent,100.0
32,250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,yes,failed,1,1235.37,10.0,8.0,2.0,mild_delay,0,0,long,5.532333184057321,poor,6.0
33,250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,yes,failed,1,1402.69,10.0,6.0,4.0,moderate_delay,0,0,very_long,5.784288659793814,poor,6.0
34,250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,no,delivered,5,243.66,8.0,16.0,-8.0,on_time_or_early,1,1,short,6.941880341880341,excellent,100.0
35,250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2,595.53,5.0,3.0,2.0,mild_delay,0,1,medium,7.280317848410758,poor,42.0
36,250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,no,delivered,4,356.43,3.0,8.0,-5.0,on_time_or_early,1,1,short,9.479521276595744,good,94.0
37,250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,yes,delayed,2,298.16,5.0,2.0,3.0,moderate_delay,0,1,short,6.370940170940172,poor,42.0
38,250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,no,delivered,5,1321.0,5.0,8.0,-3.0,on_time_or_early,1,1,very_long,5.65981148243359,excellent,100.0
39,250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,no,delivered,3,456.74,7.0,24.0,-17.0,on_time_or_early,1,1,short,7.343086816720257,average,88.0
40,250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,no,delivered,4,701.55,6.0,24.0,-18.0,on_time_or_early,1,1,medium,6.153947368421052,good,94.0
41,250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,no,delivered,5,834.87,6.0,8.0,-2.0,on_time_or_early,1,1,medium,6.348821292775665,excellent,100.0
42,250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,yes,delayed,3,206.74,3.0,2.0,1.0,mild_delay,0,1,short,9.660747663551403,average,48.0
43,250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,no,delivered,5,1317.61,7.0,24.0,-17.0,on_time_or_early,1,1,very_long,5.097137330754352,excellent,100.0
44,250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,no,delivered,3,1290.71,9.0,16.0,-7.0,on_time_or_early,1,1,very_long,5.083536825521859,average,88.0
45,250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,no,delivered,4,157.38,6.0,8.0,-2.0,on_time_or_early,1,1,short,23.48955223880597,good,94.0
46,250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,no,delivered,4,970.6,5.0,24.0,-19.0,on_time_or_early,1,1,long,5.449747332959012,good,94.0
47,250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,no,delivered,3,1005.12,4.0,24.0,-20.0,on_time_or_early,1,1,long,5.584,average,88.0
48,250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,no,delivered,4,984.38,11.0,16.0,-5.0,on_time_or_early,1,1,long,5.238850452368281,good,94.0
49,250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,yes,failed,1,589.16,4.0,3.0,1.0,mild_delay,0,0,medium,7.524393358876117,poor,6.0
50,250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,no,delivered,4,378.35,2.0,3.0,-1.0,on_time_or_early,1,1,short,7.332364341085271,good,94.0
51,250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,no,delivered,5,324.08,5.0,8.0,-3.0,on_time_or_early,1,1,short,12.047583643122676,excellent,100.0
52,250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,yes,delayed,2,1214.17,7.0,6.0,1.0,mild_delay,0,1,long,5.602999538532534,poor,42.0
53,250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,no,delivered,4,856.8,5.0,24.0,-19.0,on_time_or_early,1,1,medium,5.781376518218623,good,94.0
54,250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,no,delivered,4,1161.37,5.0,8.0,-3.0,on_time_or_early,1,1,long,6.304940282301845,good,94.0
55,250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,no,delivered,5,1065.7,7.0,8.0,-1.0,on_time_or_early,1,1,long,6.354800238521169,excellent,100.0
56,250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,no,delivered,5,1066.02,9.0,24.0,-15.0,on_time_or_early,1,1,long,5.3921092564491655,excellent,100.0
57,250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,no,delivered,5,1200.32,7.0,24.0,-17.0,on_time_or_early,1,1,long,5.664558754129306,excellent,100.0
58,250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,no,delivered,5,484.65,6.0,8.0,-2.0,on_time_or_early,1,1,short,7.537325038880248,excellent,100.0
59,250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,no,delivered,4,1045.11,3.0,16.0,-13.0,on_time_or_early,1,1,long,5.056168359941944,good,94.0
60,250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,no,delivered,5,437.93,3.0,16.0,-13.0,on_time_or_early,1,1,medium,5.244670658682635,excellent,100.0
61,250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,no,delivered,5,289.36,3.0,8.0,-5.0,on_time_or_early,1,1,short,31.113978494623655,excellent,100.0
62,250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,no,delivered,3,1370.53,12.0,24.0,-12.0,on_time_or_early,1,1,very_long,5.57352582350549,average,88.0
63,250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,yes,delayed,2,1315.6,8.0,6.0,2.0,mild_delay,0,1,very_long,5.828976517501108,poor,42.0
64,250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,yes,delayed,2,1292.86,7.0,6.0,1.0,mild_delay,0,1,very_long,5.720619469026548,poor,42.0
65,250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,no,delivered,5,668.59,4.0,16.0,-12.0,on_time_or_early,1,1,medium,5.901059135039718,excellent,100.0
66,250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,no,delivered,4,1287.23,12.0,24.0,-12.0,on_time_or_early,1,1,very_long,5.541239776151528,good,94.0
67,250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,yes,failed,2,555.64,4.0,3.0,1.0,mild_delay,0,0,medium,6.3356898517673885,poor,12.0
68,250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,no,delivered,4,632.88,6.0,8.0,-2.0,on_time_or_early,1,1,medium,7.024195338512764,good,94.0
69,250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,yes,delayed,2,736.82,6.0,4.0,2.0,mild_delay,0,1,medium,6.674094202898551,poor,42.0
70,250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,no,delivered,5,1195.59,6.0,8.0,-2.0,on_time_or_early,1,1,long,5.502024850437183,excellent,100.0
71,250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,no,delivered,3,460.75,6.0,24.0,-18.0,on_time_or_early,1,1,short,6.126994680851063,average,88.0
72,250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,no,delivered,5,173.54,2.0,16.0,-14.0,on_time_or_early,1,1,short,7.480172413793103,excellent,100.0
73,250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,yes,delayed,3,526.11,8.0,3.0,5.0,moderate_delay,0,1,medium,6.70203821656051,average,48.0
74,250.99,blue dart,documents,van,express,north,hot,138.3,47.87,yes,delayed,3,885.11,8.0,4.0,4.0,moderate_delay,0,1,medium,6.399927693420101,average,48.0
75,250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,no,delivered,4,599.99,3.0,16.0,-13.0,on_time_or_early,1,1,medium,6.223962655601659,good,94.0
76,250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,no,delivered,4,1152.79,11.0,24.0,-13.0,on_time_or_early,1,1,long,5.332053654024052,good,94.0
77,250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,yes,delayed,3,272.8,7.0,2.0,5.0,moderate_delay,0,1,short,11.319502074688797,average,48.0
78,250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,no,delivered,4,1070.19,13.0,24.0,-11.0,on_time_or_early,1,1,long,5.429680365296804,good,94.0
79,250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,no,delivered,4,604.06,2.0,8.0,-6.0,on_time_or_early,1,1,medium,6.371940928270042,good,94.0
80,250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,yes,delayed,2,398.73,3.0,3.0,0.0,on_time_or_early,0,1,short,7.120178571428572,poor,42.0
81,250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,yes,delayed,3,470.66,8.0,8.0,0.0,on_time_or_early,0,1,short,6.6571428571428575,average,48.0
82,250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,no,delivered,5,470.79,6.0,8.0,-2.0,on_time_or_early,1,1,short,7.79453642384106,excellent,100.0
83,250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,yes,failed,2,1458.24,9.0,8.0,1.0,mild_delay,0,0,very_long,5.643343653250774,poor,12.0
84,250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,no,delivered,4,551.44,4.0,16.0,-12.0,on_time_or_early,1,1,medium,6.1751399776035845,good,94.0
85,250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,no,delivered,4,1260.86,7.0,16.0,-9.0,on_time_or_early,1,1,very_long,5.167459016393442,good,94.0
86,250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,no,delivered,4,498.31,8.0,24.0,-16.0,on_time_or_early,1,1,medium,5.675512528473805,good,94.0
87,250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,no,delivered,4,172.6,3.0,8.0,-5.0,on_time_or_early,1,1,short,47.94444444444444,good,94.0
88,250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,no,delivered,3,95.6674,0.0,16.0,-16.0,on_time_or_early,1,1,short,26.574277777777777,average,88.0
89,250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,no,delivered,4,665.04,9.0,24.0,-15.0,on_time_or_early,1,1,medium,5.991351351351351,good,94.0
90,250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,yes,delayed,3,1432.59,11.0,7.0,4.0,moderate_delay,0,1,very_long,5.587324492979719,average,48.0
91,250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,no,delivered,5,1049.98,7.0,8.0,-1.0,on_time_or_early,1,1,long,5.902079820123665,excellent,100.0
92,250.99,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,no,delivered,4,1045.27,9.0,16.0,-7.0,on_time_or_early,1,1,long,5.118854064642507,good,94.0
93,250.99,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,no,delivered,5,743.23,4.0,24.0,-20.0,on_time_or_early,1,1,medium,5.9458400000000005,excellent,100.0
94,250.99,dhl,fragile items,bike,two day,north,hot,83.3,34.71,no,delivered,4,520.63,4.0,16.0,-12.0,on_time_or_early,1,1,medium,6.250060024009604,good,94.0
95,250.99,ecom express,clothing,van,standard,west,foggy,193.2,33.28,no,delivered,4,1065.84,7.0,24.0,-17.0,on_time_or_early,1,1,long,5.516770186335403,good,94.0
96,250.99,ekart,clothing,van,two day,east,foggy,174.3,47.29,no,delivered,5,1013.37,10.0,16.0,-6.0,on_time_or_early,1,1,long,5.81394148020654,excellent,100.0
97,250.99,ekart,groceries,bike,same day,west,clear,11.4,40.22,no,delivered,5,277.66,1.0,8.0,-7.0,on_time_or_early,1,1,short,24.356140350877194,excellent,100.0
98,250.99,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,yes,delayed,2,1016.88,6.0,5.0,1.0,mild_delay,0,1,long,6.111057692307692,poor,42.0
99,250.99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,no,delivered,5,1062.21,11.0,24.0,-13.0,on_time_or_early,1,1,long,5.60237341772152,excellent,100.0
100,250.99,blue dart,groceries,truck,express,west,stormy,111.2,37.33,yes,delayed,2,717.99,6.0,4.0,2.0,mild_delay,0,1,medium,6.456744604316547,poor,42.0
101,250.99,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,no,delivered,5,729.91,4.0,8.0,-4.0,on_time_or_early,1,1,medium,7.0727713178294564,excellent,100.0
102,250.99,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,no,delivered,4,1323.84,9.0,24.0,-15.0,on_time_or_early,1,1,very_long,5.6,good,94.0
103,250.99,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,no,delivered,5,738.52,5.0,8.0,-3.0,on_time_or_early,1,1,medium,6.599821268990169,excellent,100.0
104,250.99,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,no,delivered,5,494.92,8.0,24.0,-16.0,on_time_or_early,1,1,medium,5.715011547344111,excellent,100.0
105,250.99,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,no,delivered,5,1322.21,5.0,24.0,-19.0,on_time_or_early,1,1,very_long,5.612096774193549,excellent,100.0
106,250.99,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,no,delivered,4,1632.7206,6.0,8.0,-2.0,on_time_or_early,1,1,very_long,5.525281218274112,good,94.0
107,250.99,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,no,delivered,5,412.45,5.0,16.0,-11.0,on_time_or_early,1,1,short,7.325932504440497,excellent,100.0
108,250.99,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,no,delivered,5,657.46,6.0,16.0,-10.0,on_time_or_early,1,1,medium,5.757092819614711,excellent,100.0
109,250.99,fedex,furniture,scooter,same day,north,hot,3.6,31.41,no,delivered,4,203.23,2.0,8.0,-6.0,on_time_or_early,1,1,short,56.452777777777776,good,94.0
110,250.99,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,yes,failed,2,898.65,9.0,8.0,1.0,mild_delay,0,0,medium,6.14671682626539,poor,12.0
111,250.99,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,no,delivered,4,560.07,3.0,8.0,-5.0,on_time_or_early,1,1,medium,6.542873831775702,good,94.0
112,250.99,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,yes,failed,2,1305.19,9.0,6.0,3.0,moderate_delay,0,0,very_long,5.264985881403792,poor,12.0
113,250.99,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,no,delivered,4,1376.46,9.0,24.0,-15.0,on_time_or_early,1,1,very_long,5.008951965065502,good,94.0
114,250.99,fedex,electronics,scooter,standard,west,clear,35.7,10.8,no,delivered,3,210.9,3.0,24.0,-21.0,on_time_or_early,1,1,short,5.9075630252100835,average,88.0
115,250.99,fedex,documents,van,express,central,stormy,259.3,27.01,yes,failed,1,1427.53,8.0,7.0,1.0,mild_delay,0,0,very_long,5.505322020825298,poor,6.0
116,250.99,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,no,delivered,5,561.77,4.0,8.0,-4.0,on_time_or_early,1,1,short,8.60290964777948,excellent,100.0
117,250.99,delhivery,cosmetics,van,express,south,clear,93.1,20.89,no,delivered,3,578.17,2.0,3.0,-1.0,on_time_or_early,1,1,medium,6.210204081632653,average,88.0
118,250.99,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,no,delivered,5,1425.33,9.0,24.0,-15.0,on_time_or_early,1,1,very_long,5.362415349887133,excellent,100.0
119,250.99,ekart,furniture,truck,two day,west,clear,110.2,23.24,no,delivered,4,620.72,4.0,16.0,-12.0,on_time_or_early,1,1,medium,5.632667876588022,good,94.0
120,250.99,blue dart,documents,bike,standard,west,clear,6.0,0.88,no,delivered,4,95.6674,1.0,24.0,-23.0,on_time_or_early,1,1,short,15.944566666666667,good,94.0
121,250.99,dhl,furniture,truck,two day,east,foggy,16.5,21.49,no,delivered,4,146.97,2.0,16.0,-14.0,on_time_or_early,1,1,short,8.907272727272726,good,94.0
122,250.99,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,no,delivered,4,566.01,4.0,24.0,-20.0,on_time_or_early,1,1,medium,5.549117647058823,good,94.0
123,250.99,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,yes,delayed,3,1424.88,13.0,7.0,6.0,moderate_delay,0,1,very_long,5.368801808590807,average,48.0
124,250.99,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,no,delivered,5,183.79,2.0,16.0,-14.0,on_time_or_early,1,1,short,6.683272727272727,excellent,100.0
125,250.99,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,no,delivered,3,320.87,2.0,16.0,-14.0,on_time_or_early,1,1,short,5.392773109243698,average,88.0
126,250.99,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,no,delivered,4,1588.78,6.0,7.0,-1.0,on_time_or_early,1,1,very_long,5.474776016540317,good,94.0
127,250.99,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,no,delivered,4,740.6,8.0,24.0,-16.0,on_time_or_early,1,1,medium,5.97258064516129,good,94.0
128,250.99,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,no,delivered,4,1434.54,9.0,16.0,-7.0,on_time_or_early,1,1,very_long,5.477434135166094,good,94.0
129,250.99,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,no,delivered,5,618.71,8.0,16.0,-8.0,on_time_or_early,1,1,medium,5.352162629757786,excellent,100.0
130,250.99,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,no,delivered,3,873.47,2.0,5.0,-3.0,on_time_or_early,1,1,long,5.599166666666667,average,88.0
131,250.99,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,no,delivered,4,1463.55,9.0,24.0,-15.0,on_time_or_early,1,1,very_long,5.151531151003168,good,94.0
132,250.99,fedex,clothing,truck,same day,north,cold,287.0,8.21,yes,failed,1,1559.63,10.0,8.0,2.0,mild_delay,0,0,very_long,5.43425087108014,poor,6.0
133,250.99,delhivery,electronics,van,two day,north,foggy,50.5,31.28,no,delivered,4,346.34,2.0,16.0,-14.0,on_time_or_early,1,1,short,6.858217821782178,good,94.0
134,250.99,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,no,delivered,4,1039.0,7.0,16.0,-9.0,on_time_or_early,1,1,long,5.110673880964092,good,94.0
135,250.99,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,no,delivered,3,799.09,2.0,8.0,-6.0,on_time_or_early,1,1,medium,6.252660406885759,average,88.0
136,250.99,ekart,groceries,scooter,two day,east,cold,45.8,27.22,no,delivered,5,310.66,1.0,16.0,-15.0,on_time_or_early,1,1,short,6.782969432314411,excellent,100.0
137,250.99,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,no,delivered,5,245.29,0.0,8.0,-8.0,on_time_or_early,1,1,short,28.19425287356322,excellent,100.0
138,250.99,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,no,delivered,4,909.11,6.0,24.0,-18.0,on_time_or_early,1,1,long,5.94967277486911,good,94.0
139,250.99,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,no,delivered,4,367.67,5.0,8.0,-3.0,on_time_or_early,1,1,short,12.678275862068967,good,94.0
140,250.99,dhl,furniture,scooter,standard,north,clear,281.6,19.81,no,delivered,3,1467.43,8.0,24.0,-16.0,on_time_or_early,1,1,very_long,5.211044034090909,average,88.0
141,250.99,ecom express,electronics,van,same day,east,stormy,75.7,41.47,yes,delayed,2,602.91,8.0,8.0,0.0,on_time_or_early,0,1,short,7.964464993394979,poor,42.0
142,250.99,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,no,delivered,4,705.04,3.0,24.0,-21.0,on_time_or_early,1,1,medium,5.3210566037735845,good,94.0
143,250.99,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,no,delivered,5,1193.0,10.0,24.0,-14.0,on_time_or_early,1,1,long,5.467461044912924,excellent,100.0
144,250.99,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,yes,delayed,2,845.38,8.0,5.0,3.0,moderate_delay,0,1,long,5.532591623036649,poor,42.0
145,250.99,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,no,delivered,3,734.85,4.0,8.0,-4.0,on_time_or_early,1,1,medium,6.457381370826011,average,88.0
146,250.99,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,no,delivered,5,1038.84,7.0,24.0,-17.0,on_time_or_early,1,1,long,5.487797147385102,excellent,100.0
147,250.99,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,no,delivered,3,422.39,5.0,16.0,-11.0,on_time_or_early,1,1,short,7.028119800332778,average,88.0
148,250.99,ekart,documents,truck,same day,south,foggy,147.7,46.57,no,delivered,4,978.21,6.0,8.0,-2.0,on_time_or_early,1,1,medium,6.622951929587002,good,94.0
149,250.99,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,no,delivered,4,1591.97,6.0,16.0,-10.0,on_time_or_early,1,1,very_long,5.508546712802768,good,94.0
150,250.99,delhivery,pharmacy,van,express,north,cold,235.6,42.35,yes,delayed,3,1355.05,7.0,6.0,1.0,mild_delay,0,1,very_long,5.751485568760611,average,48.0
151,250.99,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,no,delivered,4,634.78,4.0,8.0,-4.0,on_time_or_early,1,1,medium,6.278733926805144,good,94.0
